Contig_ID,Bin_ID,group,2-1-2.norm_fold,2-8-2.norm_fold,2-9-2.norm_fold,2-10-2.norm_fold,2-12-2.norm_fold,SPE_group
k127_52283,metabat.151,PL_ALL,0.337926021971897,0.988319290875414,0.735338877445053,1.78824877482641,2.05509235457267,KI
k127_264586,metabat.151,PL_ALL,0.0712748816065012,0.921411311844626,0.617337812222371,1.60513066956523,1.94838186743688,KI
k127_283750,metabat.151,PL_ALL,0.0134873838989203,0.894258498916646,0.657099106493344,1.70242705515256,1.70328034241423,KI
k127_507899,metabat.151,PL_ALL,0.257470560540908,0.888146961022697,0.657183820862511,1.71990410113555,1.92282689507422,KI
k127_573181,metabat.151,PL_SUB,0.198440086467542,0.16341683412338,0.293819687401557,0.58072625586149,3.96507457247774,KI
k127_600618,metabat.151,PL_ALL,0.01297492873057,0.760201182517933,0.524115699980915,1.8240488757585,2.03249378567352,KI
k127_673617,metabat.151,PL_ALL,0.104671693960901,0.896068686445178,0.765618213395738,1.99159077796682,2.28827867775751,KI
k127_877440,metabat.151,PL_ALL,0.089472491733662,0.85631352034237,0.584680422908653,1.62356081425686,2.00937448661886,KI
k127_912923,metabat.151,PL_ALL,0.0344108193896463,0.804723175779208,0.490701932371067,1.67741624578167,1.72831458462139,KI
k127_1084877,metabat.151,PL_ALL,0.0922637369059527,0.919325286216508,0.613217063265054,1.88053336046273,1.90138737071474,KI
k127_1462658,metabat.151,PL_ALL,0.243089105922739,0.979070094598676,0.699770944447826,1.77391481278705,1.98590243487821,KI
k127_1535354,metabat.151,PL_SUB,0.00556068374167288,0.490914237797267,0.236498314607625,1.42393482518269,1.8006568814938,KI
k127_1718293,metabat.151,PL_SUB,0,0.674915490102239,0.449978524907416,1.48588624124374,1.45373301369834,KI
k127_2166569,metabat.151,PL_ALL,0.395931585708563,1.02791067810659,0.854247596623092,2.07742320661493,2.96654930267513,KI
k127_2426731,metabat.151,PL_ALL,0.281828535989727,0.848046997295407,0.634625594558723,1.40780710995573,1.71514515101119,KI
k127_3056721,metabat.151,PL_ALL,0.0396989205949626,0.821101062942117,0.630746886656168,1.78055437682471,2.00934649037394,KI
k127_3141255,metabat.151,PL_SUB,0,0.708093641518047,0.364531981550179,1.42230706109604,1.70030714120376,KI
k127_5638328,metabat.151,PL_ALL,0.266803786585755,0.589414299171244,0.550939899874877,1.36897636930969,1.84704665932568,KI
k127_5872357,metabat.151,PL_ALL,0.121888006957179,0.630272817672395,0.489273890147973,1.3775007128161,1.50698747078452,KI
k127_836320,metabat.156,PL_ALL,0.0995907554832158,0.789362441608522,0.612678521918209,1.43416189559553,1.61985713180263,KI
k127_2486695,metabat.156,PL_ALL,0.0954256943276883,0.694077618082842,0.553523688134458,1.64648872813529,1.72189224603682,KI
k127_4292954,metabat.156,PL_ALL,0.0630101791041717,0.731324381467541,0.60749279231994,1.46208554596359,1.5000947952853,KI
k127_1288016,maxbin2.041,PL_ALL,0,0.944331733932086,0.825831976794072,2.51884712537665,0.508389410745116,KI
k127_3082957,maxbin2.041,PL_SUB,0,0.321377245839327,0.270444572537949,1.35542951687801,0.797954571949174,KI
k127_3150984,maxbin2.041,PL_SUB,0,0.486905965412661,0.546619467047381,2.46494885795483,0.148083337878057,KI
